CNJ,NATURE,SUBJECT,IsCriminal,JusticeSegmentVerifier,NatureVerifier,NatureVerifier2,SubjectVerifier,IsCriminalVerifier
5005386-10.2019.4.04.0000,"""HABEAS CORPUS""","Liberdade Provisória (DIREITO PROCESSUAL PENAL) - Contrabando (art. 334-A), Crimes praticados por particular contra a Administração em geral, DIREITO PENAL - Fiança, DIREITO PROCESSUAL PENAL",TRUE,ok,ok,ok,ok,true
0162944-06.2018.8.09.0029,- PROCESSO CRIMINAL -> Procedimento Comum -> Ação Penal - Procedimento Ordinário,3431 - DIREITO PENAL -> Crimes contra o Patrimônio -> Estelionato - CP,TRUE,ok,ok,ok,ok,true
0002127-90.2018.8.08.0062,Criminal,,TRUE,ok,ok,ok,vazio,true
0034943-07.2018.8.11.0042,Ação Penal - Procedimento Sumário,Decorrente de Violência Doméstica - Ameaça - Violência Doméstica Contra a Mulher,TRUE,ok,ok,ok,ok,true
0012008-31.2009.8.26.0604,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,TRUE,ok,ok,ok,ok,true
1014923-29.2021.8.26.0050,Execução de Pena de Multa,Pena de Multa,FALSE,ok,ok,ok,ok,true
5463665-42.2014.8.09.0123,Termo Circunstanciado ( Lei Esparsa ),Posse de Drogas para Consumo Pessoal - Lei 11.343/06,TRUE,ok,ok,ok,ok,true
0800009-92.2022.8.14.0065,- Medidas Protetivas De Urgência (lei Maria Da Penha) Criminal,3402 - Ameaça - DIREITO PENAL (287)  -  Crimes contra a liberdade pessoal (3400)  -  Ameaça (3402,TRUE,ok,ok,ok,ok,true
0002606-07.2013.8.26.0564,Ação Penal de Competência do Júri,"Homicídio Simples, Homicídio Qualificado",TRUE,ok,ok,ok,ok,true
1500604-47.2022.8.26.0540,Auto de Prisão em Flagrante,Tráfico de Drogas e Condutas Afins,TRUE,ok,ok,ok,ok,true
0000325-47.2022.8.17.2170,CARTA PRECATÓRIA CRIMINAL,Oitiva,TRUE,ok,ok,ok,ok,true
0303598-95.2018.8.05.0080,INQUÉRITO POLICIAL,Roubo Majorado,TRUE,ok,ok,ok,ok,true
0078572-69.2017.8.19.0001,- Execução da Pena,7791 - Pena Privativa de Liberdade,FALSE,ok,ok,ok,ok,true
0303099-74.2017.8.05.0039,Auto de Prisão em Flagrante,Crimes do Sistema Nacional de Armas,TRUE,ok,ok,ok,ok,true
0010910-69.2022.8.26.0405,INQUÉRITO POLICIAL,Furto,TRUE,ok,ok,ok,ok,true
1524222-55.2020.8.26.0228,Ação Penal de Competência do Júri,Homicídio Simples,TRUE,ok,ok,ok,ok,true
0000645-93.2019.8.16.0145,- Carta Precatória Criminal,3419 - Roubo,TRUE,ok,ok,ok,ok,true
0801033-06.2018.4.05.8400,CARTA PRECATÓRIA CRIMINAL,DIREITO PROCESSUAL PENAL Jurisdição e Competência Competência da Justiça Federal,TRUE,ok,ok,ok,ok,true
0062456-03.2013.8.19.0203,Ação Penal - Procedimento Sumário,"Lesão Corporal Decorrente de Violência Doméstica (Art. 129, § 9º e / Ou § 11 - Cp)",TRUE,ok,ok,ok,ok,true
0710142-18.2021.8.07.0001,Relaxamento de Prisão,DIREITO PROCESSUAL PENAL (1209)  -  Liberdade Provisória (7928,TRUE,ok,ok,ok,ok,true
0000777-20.2018.8.16.0135,- Agravo de Execução Penal,3419 - Roubo,TRUE,ok,ok,ok,ok,true
0800435-40.2021.8.20.5120,CARTA PRECATÓRIA CRIMINAL,DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) - Objetos de cartas precatórias/de ordem (11781) - Intimação (11782,TRUE,ok,ok,ok,no,true
1502386-82.2019.8.26.0544,Ação Penal - Procedimento Sumário,Crimes de Trânsito,TRUE,ok,ok,ok,ok,true
5003777-15.2022.8.13.0707,[CRIMINAL] TERMO CIRCUNSTANCIADO,DIREITO PENAL / CRIMES PREVISTOS NA LEGISLAÇÃO EXTRAVAGANTE / CRIMES DE TRÁFICO ILÍCITO E USO INDEVIDO DE DROGAS / POSSE DE DROGAS PARA CONSUMO PESSOA,TRUE,ok,ok,ok,ok,true
